id,name,parent_id
18,Star Wars,1
118,Speed Racer,112
135,Life On Mars,126
160,Star Wars Clone Wars,159
161,Star Wars Episode 2,159
162,Star Wars Episode 3,159
163,Star Wars Episode 4/5/6,159
164,Star Wars Episode 1,159
165,Star Wars Clone Wars,158
166,Star Wars Episode 1,158
167,Star Wars Episode 2,158
168,Star Wars Episode 3,158
169,Star Wars Episode 4/5/6,158
170,Star Wars Other,158
172,Star Wars Episode 1,171
173,Star Wars Episode 3,171
174,Star Wars Episode 4/5/6,171
175,Star Wars Episode 2,171
182,Star Wars Rebels,158
183,Star Wars Expanded Universe,158
184,Star Wars Episode 7,158
185,Star Wars Rogue One,158
209,Star Wars,207
225,Star Wars,217
246,Harry Potter,
261,Star Wars,258
263,Pirates of the Caribbean,
264,Indiana Jones,
265,Kingdom of the Crystal Skull,264
266,Last Crusade,264
267,Raiders of the Lost Ark,264
268,Temple of Doom,264
269,Cars,
271,Prince of Persia,
272,SpongeBob SquarePants,
274,Jurassic Park III,273
275,Toy Story,
287,Spider-Man,279
288,Spider-Man 2,287
483,Guardians of the Galaxy,482
484,Batman,482
486,Justice League,482
487,Avengers,482
488,Spider-Man,482
489,Superman,482
490,Iron Man,482
491,X-Men,482
493,Marvel,482
549,The LEGO Movie Series,535
550,The Simpsons,535
561,The Hobbit and Lord of the Rings,
562,The Hobbit,561
566,The Lord of the Rings,561
570,Teenage Mutant Ninja Turtles,
578,The LEGO Movie,
579,Disney Princess,
592,DC Comics Super Heroes,591
593,Disney Princess,591
596,Marvel Super Heroes,591
602,Jurassic World,
603,Scooby-Doo,
606,Angry Birds,
607,Ghostbusters,
608,Disney,
609,The LEGO Batman Movie,535
612,Star Wars Episode 8,158
615,Cars,591
616,Ninjago The Movie,435
617,DC Super Hero Girls,
618,Ninjago The Movie,535
620,Jurassic World: Fallen Kingdom,591
624,Solo,158
626,Bob the Builder,504
628,Dora the Explorer,504
630,Spiderman,504
631,Thomas & Friends,504
633,Toy Story,504
635,Winnie the Pooh,504
640,Disney Princess,504
641,Disney's Mickey Mouse,504
653,DC Comics,504
654,The Powerpuff Girls,
656,Harry Potter and Fantastic Beasts,535
667,Fantastic Beasts,246
670,The LEGO Movie II,578
675,The LEGO Movie Series II,535
680,Stranger Things,
